"","url","mentions","date"
"48","http://www.ft.dk/samling/20171/salen/48/index.htm",0,2018-01-23
"49","http://www.ft.dk/samling/20171/salen/49/index.htm",0,2018-01-24
"50","http://www.ft.dk/samling/20171/salen/50/index.htm",0,2018-01-25
"51","http://www.ft.dk/samling/20171/salen/51/index.htm",0,2018-01-26
"52","http://www.ft.dk/samling/20171/salen/52/index.htm",0,2018-01-30
"53","http://www.ft.dk/samling/20171/salen/53/index.htm",0,2018-01-31
"54","http://www.ft.dk/samling/20171/salen/54/index.htm",0,2018-02-01
"55","http://www.ft.dk/samling/20171/salen/55/index.htm",0,2018-02-02
"56","http://www.ft.dk/samling/20171/salen/56/index.htm",2,2018-02-06
"57","http://www.ft.dk/samling/20171/salen/57/index.htm",0,2018-02-07
"58","http://www.ft.dk/samling/20171/salen/58/index.htm",0,2018-02-08
"59","http://www.ft.dk/samling/20171/salen/59/index.htm",0,2018-02-09
"60","http://www.ft.dk/samling/20171/salen/60/index.htm",3,2018-02-20
"61","http://www.ft.dk/samling/20171/salen/61/index.htm",3,2018-02-21
"62","http://www.ft.dk/samling/20171/salen/62/index.htm",0,2018-02-22
"63","http://www.ft.dk/samling/20171/salen/63/index.htm",0,2018-02-23
"64","http://www.ft.dk/samling/20171/salen/64/index.htm",0,2018-02-27
"65","http://www.ft.dk/samling/20171/salen/65/index.htm",1,2018-02-28
"66","http://www.ft.dk/samling/20171/salen/66/index.htm",2,2018-03-01
"67","http://www.ft.dk/samling/20171/salen/67/index.htm",0,2018-03-02
"68","http://www.ft.dk/samling/20171/salen/68/index.htm",1,2018-03-13
"69","http://www.ft.dk/samling/20171/salen/69/index.htm",3,2018-03-14
"70","http://www.ft.dk/samling/20171/salen/70/index.htm",0,2018-03-15
"71","http://www.ft.dk/samling/20171/salen/71/index.htm",0,2018-03-16
"72","http://www.ft.dk/samling/20171/salen/72/index.htm",0,2018-03-20
"73","http://www.ft.dk/samling/20171/salen/73/index.htm",1,2018-03-21
"74","http://www.ft.dk/samling/20171/salen/74/index.htm",0,2018-03-23
"75","http://www.ft.dk/samling/20171/salen/75/index.htm",0,2018-04-03
"76","http://www.ft.dk/samling/20171/salen/76/index.htm",3,2018-04-04
